codigo,nome,categoria,preco,estoque,ativo
COL-07,Colar Árvore da Vida Coração,Colares,"139,90",,sim
COL-08,Colar Árvore da Vida Redondo,Colares,"139,90",,sim
COL-09,Colar Espírito Santo Prata,Colares,"119,90",,sim
COL-10,Colar Relicário Redondo,Colares,"129,90",,sim
LET-01,Colar de Letra,Colares,"99,90",,sim
LET-01-B,Colar de Letra B,Colares,,2,sim
LET-01-D,Colar de Letra D,Colares,,2,sim
LET-01-E,Colar de Letra E,Colares,,2,sim
LET-01-F,Colar de Letra F,Colares,,2,sim
LET-01-M,Colar de Letra M,Colares,,3,sim
LET-01-N,Colar de Letra N,Colares,,2,sim
LET-01-P,Colar de Letra P,Colares,,2,sim
LET-01-S,Colar de Letra S,Colares,,2,sim
LET-01-T,Colar de Letra T,Colares,,1,sim
LET-01-U,Colar de Letra U,Colares,,1,sim
LET-01-V,Colar de Letra V,Colares,,2,sim
LET-01-Z,Colar de Letra Z,Colares,,1,sim
BRC-01,Bracelete Martelado,Braceletes,"139,90",,sim
BRC-02,Bracelete Facetado,Braceletes,"139,90",,sim
BRC-03,Bracelete Bambu Trançado,Braceletes,"139,90",,sim
BRC-04,Bracelete Liso Abaulado,Braceletes,"139,90",,sim
BRC-05,Bracelete Gota Lisa,Braceletes,"139,90",,sim
BRC-06,Bracelete Ondulado Largo,Braceletes,"149,90",,sim
COL-27,Colar com 2 Filhos,Colares,"99,90",,sim
COL-28,Colar Riviera 3 Pontas 3mm,Colares,"439,90",,sim
COL-29,Colar Riviera 3 Pontas 4mm,Colares,"439,90",,sim
COL-30,Colar Snake P Ouro,Colares,"129,90",,sim
COL-31,Colar Snake P Ródio Branco,Colares,"129,90",,sim
COL-32,Colar Coração Cravejado com Menino,Colares,"99,90",,sim
COL-34,Colar Coração com Menina,Colares,"79,90",,sim
COL-35,Colar Coração com Menino,Colares,"79,90",,sim
COL-36,Colar com Duas Meninas,Colares,"119,90",,sim
COL-39,Colar Solitário Zircônia Ouro,Colares,,,
COL-40,Colar Elos Longo Ouro,Colares,,,
COL-41,Colar Cobra Longo Ouro,Colares,,,
COL-42,Colar Bolinhas Achatadas Ouro,Colares,,,
COL-43,Colar Coração Liso Ouro,Colares,,,
COL-44,Colar Cadeado Fino Ouro,Colares,,,
COL-45,Colar Corações Achatados Prata Longo,Colares,,,
COL-46,Colar Corações Achatados Prata,Colares,,,
COL-47,Colar Cruz Zircônia Retângulo Ouro,Colares,,,
COL-48,Colar Solitário Zircônia Prata,Colares,,,
COL-49,Colar Raquete Beach Tennis Prata,Colares,,,
COL-50,Colar Coração Liso Prata,Colares,,,
COL-51,Colar Cadeado Fino Longo Ouro,Colares,,,
COL-52,Colar Raquete Bola Beach Tennis Prata,Colares,,,
COL-53,Colar Raquete Beach Tennis Ouro,Colares,,,
COL-54,Colar Bolinha Única Ouro,Colares,,,
COL-55,Colar Bolinhas Achatadas Prata,Colares,,,
COL-56,Colar Bolinhas Ouro Longo,Colares,,,
COL-60,Chocker Elos Português PP Ouro,Chocker,"69,90",,sim
COL-64,Colar Patuá Ródio Branco,Colares,"99,90",,sim
COL-65,Colar São Bento Pérola,Colares,"79,90",,sim
COL-66,Colar Iniciais Duplas,Colares,,,
COL-67,Colar Menino Ouro,Colares,,,
COL-68,Colar Menina Zircônia Ouro,Colares,,,
COL-69,Colar Terço Pérola,Colares,,,
ESC-02,Brinco Earcuff Coração,Brincos,"79,90",,sim
ENT-01,Brinco Entrelaçado,Brincos,"79,90",,sim
PDT-01,Brinco Pendente Ouro,Brincos,"79,90",,sim
PDT-02,Brinco Pendente Ródio Branco,Brincos,"79,90",,sim
DUP-01,Brinco Duplo Argolinha Correntinha Strass,Brincos,,,
HAL-01,Brinco Botão Halo Cravejado,Brincos,,,
AGV-01,Brinco Argolinha Cravejada Prata,Brincos,,,
AGV-02,Brinco Argolinha Cravejada Dourada,Brincos,,,
DUP-02,Brinco Duplo Argolinha Correntinha Cristais,Brincos,,,
PIE-07,Piercing Fake Duplo Zircônia,Piercing,"49,90",,sim
ANE-01,Anel Duplo Gota Dourado,Anéis,,,
ANE-02,Anel Chevalier Oval Dourado,Anéis,,,
ANE-03,Anel Duplo Gota Dourado Grande,Anéis,,,
ANE-04,Anel Medalha Trabalhada Dourado,Anéis,,,
ANE-04-11,Anel Medalha Trabalhada Dourado (11),Anéis,,,
ANE-04-13,Anel Medalha Trabalhada Dourado (13),Anéis,,,
ANE-05,Anel Cruzado Cravejado Rosé,Anéis,,,
ANE-06,Anel Trançado Fino Dourado,Anéis,,,
ANE-07,Anel Ondulado Fino Dourado,Anéis,,,
ANE-08,Anel Navete Cravejado Prata,Anéis,,,
ANE-09,Anel Duplo Cravejado Dourado,Anéis,,,
ANE-10,Anel Coração Vazado Prata,Anéis,,,
ANE-11,Anel Chevalier Retangular Dourado,Anéis,,,
ANE-12,Anel Duplo Cravejado Rosé,Anéis,,,
ANE-13,Anel Statement Retangular Cravejado Dourado,Anéis,,,
ANE-14,Anel Meia Aliança Cravejada Prata,Anéis,,,
ANE-15,Anel Corda Dourado,Anéis,,,
ANE-16,Anel Trabalhado Largo Dourado,Anéis,,,
ANE-17,Anel Coração Chevalier Dourado,Anéis,,,
ANE-18,Anel Nó Fino Dourado,Anéis,,,
